"theta","n","p","m","AbsBias_emp","AbsBias_bern","Var_emp","Var_bern","MSE_emp","MSE_bern","MSERedPct"
-1,50,0.1,13,0.0021,0.0057,0.0017,8e-04,0.0017,8e-04,52.7
-1,50,0.5,13,0.0061,0.025,0.0124,0.0078,0.0124,0.0084,31.8
-1,50,1,13,0.02,0.0725,0.0148,0.0103,0.0152,0.0155,-2.5
-1,200,0.1,34,0.001,0.0042,6e-04,4e-04,6e-04,4e-04,39.4
-1,200,0.5,34,0.0011,0.014,0.0032,0.0027,0.0032,0.0029,9
-1,200,1,34,0.0044,0.0238,0.0038,0.0034,0.0038,0.0039,-3
-0.5,50,0.1,13,0.0108,0.0069,0.0077,0.0022,0.0078,0.0023,70.9
-0.5,50,0.5,13,0.0141,0.0038,0.017,0.0104,0.0171,0.0104,39.2
-0.5,50,1,13,0.0122,0.0377,0.0176,0.0124,0.0178,0.0138,22.5
-0.5,200,0.1,34,0.0052,0.0034,0.0024,0.0013,0.0025,0.0013,47.4
-0.5,200,0.5,34,0.0029,0.0043,0.0043,0.0036,0.0043,0.0036,16
-0.5,200,1,34,0.0037,0.0133,0.0049,0.0043,0.0049,0.0045,7.9
0,50,0.1,13,0.0246,0.0199,0.0115,0.0034,0.0121,0.0038,68.8
0,50,0.5,13,0.0144,0.0265,0.02,0.0125,0.0202,0.0131,34.9
0,50,1,13,0.0076,0.0067,0.0202,0.0141,0.0202,0.0142,30
0,200,0.1,34,0.006,0.0079,0.0047,0.0024,0.0047,0.0025,47.8
0,200,0.5,34,0.007,0.0072,0.0053,0.0044,0.0053,0.0044,16.4
0,200,1,34,0.0016,0.0015,0.0052,0.0046,0.0052,0.0046,11.8
0.5,50,0.1,13,0.0495,0.0411,0.0134,0.0037,0.0158,0.0054,66.2
0.5,50,0.5,13,0.0381,0.0692,0.0194,0.0117,0.0208,0.0165,20.7
0.5,50,1,13,0.0155,0.0415,0.0164,0.0116,0.0167,0.0133,20.5
0.5,200,0.1,34,0.0152,0.0177,0.0063,0.003,0.0065,0.0034,48.3
0.5,200,0.5,34,0.0119,0.0196,0.0052,0.0043,0.0053,0.0046,12.5
0.5,200,1,34,0.0048,0.0144,0.0046,0.0041,0.0047,0.0043,7.6
1,50,0.1,13,0.0455,0.0467,0.0208,0.005,0.0229,0.0071,68.8
1,50,0.5,13,0.0415,0.0938,0.0191,0.0113,0.0208,0.0201,3.1
1,50,1,13,0.0227,0.0751,0.0148,0.0105,0.0153,0.0161,-5.2
1,200,0.1,34,0.0111,0.0182,0.0072,0.0035,0.0073,0.0038,48.2
1,200,0.5,34,0.0083,0.0243,0.0048,0.0039,0.0048,0.0045,6.9
1,200,1,34,0.0045,0.024,0.0036,0.0032,0.0036,0.0038,-4.4
